"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-05-26","93.9","1.28","6.07","Detmers, Reid",624585,672282,,"called_strike",,,,,1,"Jorge Soler flies out to right fielder Hunter Renfroe.","R","R","L","LAA","MIA","S",,,1,0,2023,"0.82","1.44","-0.51","3.66",,,542932,1,5,"Top",,,,,595453,,,-6.377713160935432,-136.57593681297337,-3.6716249638076217,11.62520480802966,30.5910955896575,-13.528394290317594,"3.64","1.79",,,,"93.2",1942,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.56",,,,,,,,37,2,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",134,"0","-0.076"
"SL","2023-05-26","87.9","1.21","6.18","Detmers, Reid",624585,672282,,"blocked_ball",,,,,13,"Jorge Soler flies out to right fielder Hunter Renfroe.","R","R","L","LAA","MIA","B",,,0,0,2023,"-0.06","0.23","-0.27","0.7",,,542932,1,5,"Top",,,,,595453,,,-3.4395898422388034,-127.8120438672581,-7.582819332034395,0.08246494815584367,25.91945275077688,-28.266870198816267,"3.66","1.81",,,,"87.1",1855,"5.8",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.71",,,,,,,,37,1,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",131,"0","0.047"
"CU","2023-05-26","75","1.19","6.39","Detmers, Reid",542932,672282,"single","hit_into_play",,,,,3,"Jon Berti singles on a ground ball to third baseman Gio Urshela.","R","R","L","LAA","MIA","X",5,"ground_ball",0,2,2023,"-0.74","-1.32","0.44","3.04",,,,1,5,"Top",111.82,182.07,,,595453,,,-0.24628069144738327,-109.11552440775353,2.5940536758377233,-5.789866143769174,21.35836482024171,-43.413407328344896,"3.29","1.56",3,"67.1",-50,"73.7",2215,"5.6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.93",0.206,0.185,"0.9",1,1,0,2,36,4,"Curveball",0,2,2,0,2,0,2,0,"Standard","Standard",325,"-0.018","0.338"
"SL","2023-05-26","88.9","1.17","6.36","Detmers, Reid",542932,672282,,"foul",,,,,5,"Jon Berti singles on a ground ball to third baseman Gio Urshela.","R","R","L","LAA","MIA","S",,,0,2,2023,"-0.27","0.43","0.18","2.75",,,,1,5,"Top",,,,,595453,,,-1.8365522939380234,-129.40615123515337,-3.6640054888244715,-2.6172179768871326,28.19886784525503,-26.76319170766686,"3.29","1.56",269,"87.8",29,"87.6",1873,"5.6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.93",,,,,,,,36,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",147,"0","0"
"SL","2023-05-26","88.5","1.24","6.34","Detmers, Reid",542932,672282,,"foul",,,,,9,"Jon Berti singles on a ground ball to third baseman Gio Urshela.","R","R","L","LAA","MIA","S",,,0,1,2023,"0.05","0.18","0.53","2.05",,,,1,5,"Top",,,,,595453,,,-1.833038683805487,-128.8219145116974,-4.753957845121747,0.9001295830364556,26.43522801551473,-29.41915514849149,"3.29","1.56",216,"78.5",29,"87.8",1913,"5.8",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.71",,,,,,,,36,2,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",149,"0","-0.038"
"FF","2023-05-26","93.4","1.38","6.14","Detmers, Reid",542932,672282,,"called_strike",,,,,1,"Jon Berti singles on a ground ball to third baseman Gio Urshela.","R","R","L","LAA","MIA","S",,,0,0,2023,"0.65","1.43","-0.66","3.27",,,,1,5,"Top",,,,,595453,,,-6.625673649073326,-135.74162142513936,-4.6746550487071,9.518855447239355,32.681333425144,-13.768077206875525,"3.54","1.69",,,,"92.3",2017,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.55",,,,,,,,36,1,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",140,"0","-0.027"
"SL","2023-05-26","88.6","1.15","6.38","Detmers, Reid",641505,672282,"field_out","hit_into_play",,,,,8,"Jonathan Davis grounds out, third baseman Gio Urshela to first baseman Brandon Drury.","R","R","L","LAA","MIA","X",5,"ground_ball",1,1,2023,"-0.23","0.59","0.07","1.95",,,,0,5,"Top",78.97,168.89,,,595453,,,-2.12549097493661,-128.8926575846705,-5.96033264704425,-2.134037792137192,27.09146064395182,-24.541080289392422,"3.26","1.53",83,"82.2",6,"87.9",1931,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.64",0.34,0.306,"0",1,0,0,2,35,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",144,"0.017","-0.227"
"SL","2023-05-26","88.6","1.34","6.26","Detmers, Reid",641505,672282,,"called_strike",,,,,6,"Jonathan Davis grounds out, third baseman Gio Urshela to first baseman Brandon Drury.","R","R","L","LAA","MIA","S",,,1,0,2023,"-0.14","0.48","0.79","2.79",,,,0,5,"Top",,,,,595453,,,-1.0272619949995578,-129.11780332455376,-3.4170271926195324,-1.3917216236191279,26.93856933861766,-26.32279971332477,"3.51","1.74",,,,"87.8",1675,"5.7",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.78",,,,,,,,35,2,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",141,"0","-0.046"
"FF","2023-05-26","92.2","1.43","6.11","Detmers, Reid",641505,672282,,"ball",,,,,14,"Jonathan Davis grounds out, third baseman Gio Urshela to first baseman Brandon Drury.","R","R","L","LAA","MIA","B",,,0,0,2023,"0.9","1.11","1.35","2.28",,,,0,5,"Top",,,,,595453,,,-2.13870807157853,-134.23749308040382,-6.272278780805869,11.307647518612196,29.054754223498655,-17.652197402952066,"3.46","1.71",,,,"91.6",1891,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.61",,,,,,,,35,1,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",139,"0","0.039"
"FF","2023-05-26","94.6","1.4","6.06","Detmers, Reid",663743,672282,"field_out","hit_into_play",,,,,11,"Nick Fortes flies out to right fielder Hunter Renfroe.","R","R","L","LAA","MIA","X",9,"fly_ball",1,1,2023,"0.9","1.39","-0.31","3.67",,,,2,4,"Top",157.34,129.72,,,595453,,,-6.4323774688606505,-137.6892466250854,-3.668488071540426,12.880005557011314,30.61266581866693,-13.83978246696349,"3.08","1.47",193,"86.3",60,"94.1",2118,"6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.49",0.017,0.016,"0",1,0,0,3,30,3,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",140,"0.009","-0.097"
